S.no,Zone Name,BA Name,District name,District LGD Code,BLOCK NAME,Block LGD Code,GP Name,GP NAME,LGD CODE,Router  Location Name,GP Nos,"Convert to Municipality(GP COUNT)","GP Count ammendment","BSNL OFC SCOPE(AS PER RFP)(KM)","OFC SCOPE(AS PER RFP)",Block KML ASSIGNED,Proposed KML Submission Date ,KML Received (Yes/No),KML received date,KML Submitted to BSNL through mail (Yes/No), Block KML Submitted to BSNL through mail date,Length as per KML (Proposed),Length as per KML (Incremental),BSNL Feedback,Resubmission of ammedmend date,BSNL KML Acceptance,BSNL KML Acceptance Date,KML Length After  approval,GP Name as per Desktop Survey,Block Router Location Name as per Desktop Survey,ICP Name as per Desktop Survey,Reffered for documentation work,Reffered for documentation date,Document Ready for Submission,Document Ready for Submission date,No of GP's as per Desktop Survey,"Route Length as per Desktop Survey as per documentation(In Km)",Document Submission to BSNL,Signoff from BSNL authority date,Physical survey proposed date,Physical survey Start date,Physical survey End date,Representative from APL Side,Representative from IE Side,Representative from BSNL Side,Videography of the Route Satatus,"Physical Survey WIP",Physical survey status,No of Rings ,Total route length as per physical survey,Existing Incremental in this Block (KM),BSNL Leased OFC (KM),Incremental Route length to be use in new Ring (KM),New OFC to be laid (KM),"Row identify kn","Row Pending KM",Infra Report Received from SRIT,Survey Report Preparation Status,Report Submission Date,Final KML after Physical Survey,Physical Survey Approved (Yes/No),BOQ Prepared,BOQ Submitted,BOQ Submition date,BOQ Approved,,
11,South Zone,ALAPPUZHA,ALAPPUZHA,509,BHARANICAVU,6262,MAVELIKKARA THAMARAKKULAM,MAVELIKKARA THAMARAKKULAM,220978,KATTANAM,1,,,43.58,30,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,48.8,,Confirmation mail received,,Yes,19-09-2025,45.49,,,,,,,,,,,,,,,,,,,,,,,4.3,31.5,,,,,,,,0,,0,0,0,0,KL-ALA-BHA-220978,9.145250 76.614720
12,South Zone,ALAPPUZHA,ALAPPUZHA,509,BHARANICAVU,6262,NOORANAD,NOORANAD,220979,KATTANAM,1,,,43.58,30,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,48.8,,Confirmation mail received,,Yes,19-09-2025,45.49,,,,,,,,,,,,,,,,,,,,,,,4.3,31.5,,,,,,,,0,,0,0,0,0,KL-ALA-BHA-220979,9.19374 76.63618
13,South Zone,ALAPPUZHA,ALAPPUZHA,509,BHARANICAVU,6262,PALAMEL,PALAMEL,220980,KATTANAM,1,,,43.58,30,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,48.8,,Confirmation mail received,,Yes,19-09-2025,45.49,,,,,,,,,,,,,,,,,,,,,,,4.3,31.5,,,,,,,,0,,0,0,0,0,KL-ALA-BHA-220980,9.17533 76.63963
14,South Zone,ALAPPUZHA,ALAPPUZHA,509,BHARANICAVU,6262,VALLIKUNNAM,VALLIKUNNAM,220981,KATTANAM,1,,,43.58,30,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,48.8,,Confirmation mail received,,Yes,19-09-2025,45.49,,,,,,,,,,,,,,,,,,,,,,,4.3,31.5,,,,,,,,0,,0,0,0,0,KL-ALA-BHA-220981,9.130400 76.556240
15,South Zone,ALAPPUZHA,ALAPPUZHA,509,CHAMPAKULAM,6263,CHAMPAKKULAM,CHAMPAKKULAM,220982,EDATHUA,1,,,44.77,51,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,58.2,,Confirmation mail received,,Yes,18-09-2025,60.08,,,,,,,,,,,,,,,,,,,,,,,4.6,43.7,,,,,,,,0,,0,0,0,0,KL-ALA-CHA-220982,9.43548 76.42207
16,South Zone,ALAPPUZHA,ALAPPUZHA,509,CHAMPAKULAM,6263,EDATHUA,EDATHUA,220983,EDATHUA,1,,,44.77,51,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,58.2,,Confirmation mail received,,Yes,18-09-2025,60.08,,,,,,,,,,,,,,,,,,,,,,,4.6,43.7,,,,,,,,0,,0,0,0,0,KL-ALA-CHA-220983,9.36609 76.47612
17,South Zone,ALAPPUZHA,ALAPPUZHA,509,CHAMPAKULAM,6263,KAINAKARY,KAINAKARY,220984,EDATHUA,1,,,44.77,51,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,58.2,,Confirmation mail received,,Yes,18-09-2025,60.08,,,,,,,,,,,,,,,,,,,,,,,4.6,43.7,,,,,,,,0,,0,0,0,0,KL-ALA-CHA-220984,9.4786 76.38705
18,South Zone,ALAPPUZHA,ALAPPUZHA,509,CHAMPAKULAM,6263,NEDUMUDI,NEDUMUDI,220985,EDATHUA,1,,,44.77,51,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,58.2,,Confirmation mail received,,Yes,18-09-2025,60.08,,,,,,,,,,,,,,,,,,,,,,,4.6,43.7,,,,,,,,0,,0,0,0,0,KL-ALA-CHA-220985,9.40224 76.41105
19,South Zone,ALAPPUZHA,ALAPPUZHA,509,CHAMPAKULAM,6263,THAKAZHI,THAKAZHI,220986,EDATHUA,1,,,44.77,51,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,58.2,,Confirmation mail received,,Yes,18-09-2025,60.08,,,,,,,,,,,,,,,,,,,,,,,4.6,43.7,,,,,,,,0,,0,0,0,0,KL-ALA-CHA-220986,9.37162 76.41203
20,South Zone,ALAPPUZHA,ALAPPUZHA,509,CHAMPAKULAM,6263,THALAVADI,THALAVADI,220987,EDATHUA,1,,,44.77,51,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,58.2,,Confirmation mail received,,Yes,18-09-2025,60.08,,,,,,,,,,,,,,,,,,,,,,,4.6,43.7,,,,,,,,0,,0,0,0,0,KL-ALA-CHA-220987,9.368390 76.508400
21,South Zone,ALAPPUZHA,ALAPPUZHA,509,CHENGANNUR,6264,ALA,ALA,220988,CHENGANNUR,1,,,39.24,73,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,76.9,,Confirmation mail received,,Yes,20-09-2025,76.99,,,,,,,,,,,,,,,,,,,,,,,7.62,76.47,,,,,,,,0,,0,0,0,0,KL-ALA-CHE-220988,9.28613 76.60876
22,South Zone,ALAPPUZHA,ALAPPUZHA,509,CHENGANNUR,6264,BUDHANNOOR,BUDHANNOOR,220989,CHENGANNUR,1,,,39.24,73,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,76.9,,Confirmation mail received,,Yes,20-09-2025,76.99,,,,,,,,,,,,,,,,,,,,,,,7.6,76.5,,,,,,,,0,,0,0,0,0,KL-ALA-CHE-220989,9.29186 76.55379
23,South Zone,ALAPPUZHA,ALAPPUZHA,509,CHENGANNUR,6264,CHERIYANAD,CHERIYANAD,220990,CHENGANNUR,1,,,39.24,73,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,76.9,,Confirmation mail received,,Yes,20-09-2025,76.99,,,,,,,,,,,,,,,,,,,,,,,7.6,76.5,,,,,,,,0,,0,0,0,0,KL-ALA-CHE-220990,9.27572802 76.59276361
24,South Zone,ALAPPUZHA,ALAPPUZHA,509,MAVELIKKARA,6267,CHENNITHALA THRIPERUMTHARA,CHENNITHALA THRIPERUMTHARA,221011,MAVELIKKARA,1,,,35.77,52,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,38.0,,Confirmation mail received,,Yes,20-09-2025,38.89,,,,,,,,,,,,45939,45939,45943,Imran,Ashwin and Shinu,Jobby Mathew,Yes,,Yes,,,4.1,37.9,,,,,,,,0,,0,0,0,0,#N/A,9.28054 76.52631
25,South Zone,ALAPPUZHA,ALAPPUZHA,509,CHENGANNUR,6264,MULAKKUZHA,MULAKKUZHA,220992,CHENGANNUR,1,,,39.24,73,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,76.9,,Confirmation mail received,,Yes,20-09-2025,76.99,,,,,,,,,,,,,,,,,,,,,,,7.6,76.5,,,,,,,,0,,0,0,0,0,KL-ALA-CHE-220992,9.29173 76.64775
26,South Zone,ALAPPUZHA,ALAPPUZHA,509,CHENGANNUR,6264,PANDANAD,PANDANAD,220993,CHENGANNUR,1,,,39.24,73,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,76.9,,Confirmation mail received,,Yes,20-09-2025,76.99,,,,,,,,,,,,,,,,,,,,,,,7.6,76.5,,,,,,,,0,,0,0,0,0,KL-ALA-CHE-220993,9.32584 76.57999
27,South Zone,ALAPPUZHA,ALAPPUZHA,509,CHENGANNUR,6264,PULIYOOR,PULIYOOR,220994,CHENGANNUR,1,,,39.24,73,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,76.9,,Confirmation mail received,,Yes,20-09-2025,76.99,,,,,,,,,,,,,,,,,,,,,,,7.6,76.5,,,,,,,,0,,0,0,0,0,KL-ALA-CHE-220994,9.30402 76.58758
28,South Zone,ALAPPUZHA,ALAPPUZHA,509,CHENGANNUR,6264,THIRUVANVANDUR,THIRUVANVANDUR,220995,CHENGANNUR,1,,,39.24,73,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,76.9,,Confirmation mail received,,Yes,20-09-2025,76.99,,,,,,,,,,,,,,,,,,,,,,,7.6,76.5,,,,,,,,0,,0,0,0,0,KL-ALA-CHE-220995,9.34609 76.58278
29,South Zone,ALAPPUZHA,ALAPPUZHA,509,CHENGANNUR,6264,VENMONY,VENMONY,220996,CHENGANNUR,1,,,39.24,73,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,76.9,,Confirmation mail received,,Yes,20-09-2025,76.99,,,,,,,,,,,,,,,,,,,,,,,7.6,76.5,,,,,,,,0,,0,0,0,0,KL-ALA-CHE-220996,9.24602 76.61457
30,South Zone,ALAPPUZHA,ALAPPUZHA,509,HARIPPAD,6265,CHERUTHANA,CHERUTHANA,220997,HARIPPAD,1,,,40.34,30,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,40.7,,Confirmation mail received,,Yes,19-09-2025,42.35,,,,,,,,,,,,,,,,,,,,,,,8.5,42.5,,,,,,,,0,,0,0,0,0,KL-ALA-HAR-220997,9.30223 76.444720
31,South Zone,ALAPPUZHA,ALAPPUZHA,509,MUTHUKULAM,6268,ARATTUPUZHA,ARATTUPUZHA,221015,KAYAMKULAM,1,,,46.16,35,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,68.5,,Confirmation mail received,,Yes,19-09-2025,62.53,,,,,,,,,,,,,,,,,,,,,,,4.4,59.3,,,,,,,,0,,0,0,0,0,KL-ALA-MUT-221015,9.20172 76.43619
32,South Zone,ALAPPUZHA,ALAPPUZHA,509,HARIPPAD,6265,HARIPPAD,HARIPPAD,O220999,HARIPPAD,1,Yes,,40.34,30,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,40.7,,Confirmation mail received,,Yes,19-09-2025,42.35,,,,,,,,,,,,,,,,,,,,,,,8.5,42.5,,,,,,,,0,,0,0,0,0,KL-ALA-HAR-O220999,9.28303 76.45386
33,South Zone,ALAPPUZHA,ALAPPUZHA,509,HARIPPAD,6265,KARTHIKAPPALLY,KARTHIKAPPALLY,221000,HARIPPAD,1,,,40.34,30,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,40.7,,Confirmation mail received,,Yes,19-09-2025,42.35,,,,,,,,,,,,,,,,,,,,,,,8.5,42.5,,,,,,,,0,,0,0,0,0,KL-ALA-HAR-221000,9.26131 76.4497
34,South Zone,ALAPPUZHA,ALAPPUZHA,509,HARIPPAD,6265,KARUVATTA,KARUVATTA,221001,HARIPPAD,1,,,40.34,30,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,40.7,,Confirmation mail received,,Yes,19-09-2025,42.35,,,,,,,,,,,,,,,,,,,,,,,8.5,42.5,,,,,,,,0,,0,0,0,0,KL-ALA-HAR-221001,9.31534 76.42793
35,South Zone,ALAPPUZHA,ALAPPUZHA,509,HARIPPAD,6265,KUMARAPURAM,KUMARAPURAM,221002,HARIPPAD,1,,,40.34,30,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,40.7,,Confirmation mail received,,Yes,19-09-2025,42.35,,,,,,,,,,,,,,,,,,,,,,,8.5,42.5,,,,,,,,0,,0,0,0,0,KL-ALA-HAR-221002,9.28353 76.43999
36,South Zone,ALAPPUZHA,ALAPPUZHA,509,HARIPPAD,6265,PALLIPPAD,PALLIPPAD,221003,HARIPPAD,1,,,40.34,30,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,40.7,,Confirmation mail received,,Yes,19-09-2025,42.35,,,,,,,,,,,,,,,,,,,,,,,8.5,42.5,,,,,,,,0,,0,0,0,0,KL-ALA-HAR-221003,9.27959 76.47808
37,South Zone,ALAPPUZHA,ALAPPUZHA,509,HARIPPAD,6265,THRIKKUNNAPUZHA,THRIKKUNNAPUZHA,221004,HARIPPAD,1,,,40.34,30,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,40.7,,Confirmation mail received,,Yes,19-09-2025,42.35,,,,,,,,,,,,,,,,,,,,,,,8.5,42.5,,,,,,,,0,,0,0,0,0,KL-ALA-HAR-221004,9.25916 76.41013
38,South Zone,ALAPPUZHA,ALAPPUZHA,509,KANJIKKUZHY,6266,CHERTHALA SOUTH,CHERTHALA SOUTH,221006,CHERTHALA,1,,,36.29,43,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,45.0,,Confirmation mail received,,Yes,18-09-2025,46.29,,,,,,,,,,,,,,,,,,,,,,,4.3,41.5,,,,,,,,0,,0,0,0,0,KL-ALA-KAN-221006,9.65751 76.31799
39,South Zone,ALAPPUZHA,ALAPPUZHA,509,KANJIKKUZHY,6266,KADAKKARAPPALLY,KADAKKARAPPALLY,221024,CHERTHALA,1,,,36.29,43,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,45.0,,Confirmation mail received,,Yes,18-09-2025,46.29,,,,,,,,,,,,,,,,,,,,,,,4.3,41.5,,,,,,,,0,,0,0,0,0,KL-ALA-KAN-221024,9.70349 76.31392
40,South Zone,ALAPPUZHA,ALAPPUZHA,509,KANJIKKUZHY,6266,KANJIKUZHI,KANJIKUZHI,221007,CHERTHALA,1,,,36.29,43,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,45.0,,Confirmation mail received,,Yes,18-09-2025,46.29,,,,,,,,,,,,,,,,,,,,,,,4.3,41.5,,,,,,,,0,,0,0,0,0,KL-ALA-KAN-221007,9.62211 76.34264
41,South Zone,ALAPPUZHA,ALAPPUZHA,509,ARYAD,6261,MUHAMMA,MUHAMMA,221009,SL PURAM,1,,,19.4,27,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,36.0,,Confirmation mail received,,Yes,18-09-2025,35.93,,,,,,,,,,,,,,,,,,,,,,,3.6,46.5,,,,,,,,0,,0,0,0,0,KL-ALA-ARY-221009,9.613 76.36305
42,South Zone,ALAPPUZHA,ALAPPUZHA,509,KANJIKKUZHY,6266,MARARIKKULAM NORTH,MARARIKKULAM NORTH,221008,CHERTHALA,1,,,36.29,43,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,45.0,,Confirmation mail received,,Yes,18-09-2025,46.29,,,,,,,,,,,,,,,,,,,,,,,4.3,41.5,,,,,,,,0,,0,0,0,0,KL-ALA-KAN-221008,9.611632 76.329585
43,South Zone,ALAPPUZHA,ALAPPUZHA,509,MAVELIKKARA,6267,CHETTIKULANGARA,CHETTIKULANGARA,221012,MAVELIKKARA,1,,,35.77,52,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,38.0,,Confirmation mail received,,Yes,20-09-2025,38.89,,,,,,,,,,,,45939,45939,45943,Imran,Ashwin and Shinu,Jobby Mathew,Yes,,Yes,,,4.1,37.9,,,,,,,,0,,0,0,0,0,KL-ALA-MAV-221012,"9.2269473,76.5162495"
44,South Zone,ALAPPUZHA,ALAPPUZHA,509,MAVELIKKARA,6267,MANNAR,MANNAR,220991,MAVELIKKARA,1,,,35.77,52,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,38.0,,Confirmation mail received,,Yes,20-09-2025,38.89,,,,,,,,,,,,45939,45939,45943,Imran,Ashwin and Shinu,Jobby Mathew,Yes,,Yes,,,4.1,37.9,,,,,,,,0,,0,0,0,0,KL-ALA-MAV-220991,9.31103 76.53902
45,South Zone,ALAPPUZHA,ALAPPUZHA,509,MAVELIKKARA,6267,MAVELIKKARA THEKKEKARA,MAVELIKKARA THEKKEKARA,221013,MAVELIKKARA,1,,,35.77,52,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,38.0,,Confirmation mail received,,Yes,20-09-2025,38.89,,,,,,,,,,,,45939,45939,45943,Imran,Ashwin and Shinu,Jobby Mathew,Yes,,Yes,,,4.1,37.9,,,,,,,,0,,0,0,0,0,#N/A,9.21807 76.55119
46,South Zone,ALAPPUZHA,ALAPPUZHA,509,MAVELIKKARA,6267,THAZHAKKARA,THAZHAKKARA,221014,MAVELIKKARA,1,,,35.77,52,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,38.0,,Confirmation mail received,,Yes,20-09-2025,38.89,,,,,,,,,,,,45939,45939,45943,Imran,Ashwin and Shinu,Jobby Mathew,Yes,,Yes,,,4.1,37.9,,,,,,,,0,,0,0,0,0,KL-ALA-MAV-221014,9.23631 76.58842
47,South Zone,ALAPPUZHA,ALAPPUZHA,509,MUTHUKULAM,6268,CHEPPAD,CHEPPAD,221016,KAYAMKULAM,1,,,46.16,35,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,68.5,,Confirmation mail received,,Yes,19-09-2025,62.53,,,,,,,,,,,,,,,,,,,,,,,4.4,59.3,,,,,,,,0,,0,0,0,0,KL-ALA-MUT-221016,9.2448834 76.4818686
48,South Zone,ALAPPUZHA,ALAPPUZHA,509,MUTHUKULAM,6268,CHINGOLI,CHINGOLI,220998,KAYAMKULAM,1,,,46.16,35,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,68.5,,Confirmation mail received,,Yes,19-09-2025,62.53,,,,,,,,,,,,,,,,,,,,,,,4.4,59.3,,,,,,,,0,,0,0,0,0,KL-ALA-MUT-220998,9.24849 76.45189
49,South Zone,ALAPPUZHA,ALAPPUZHA,509,MUTHUKULAM,6268,DEVIKULANGARA,DEVIKULANGARA,221017,KAYAMKULAM,1,,,46.16,35,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,68.5,,Confirmation mail received,,Yes,19-09-2025,62.53,,,,,,,,,,,,,,,,,,,,,,,4.4,59.3,,,,,,,,0,,0,0,0,0,KL-ALA-MUT-221017,9.14815 76.49677
50,South Zone,ALAPPUZHA,ALAPPUZHA,509,MUTHUKULAM,6268,KANDALLOOR,KANDALLOOR,221018,KAYAMKULAM,1,,,46.16,35,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,68.5,,Confirmation mail received,,Yes,19-09-2025,62.53,,,,,,,,,,,,,,,,,,,,,,,4.4,59.3,,,,,,,,0,,0,0,0,0,KL-ALA-MUT-221018,"9.1761975,76.4734946"
